iter	Passed	Remaining
398	2405	3623
399	2409	3614
400	2412	3603
401	2414	3592
402	2416	3580
403	2418	3568
404	2421	3557
405	2430	3555
406	2432	3543
407	2434	3532
408	2436	3520
409	2438	3509
410	2441	3498
411	2443	3487
412	2445	3475
413	2447	3463
414	2449	3452
415	2451	3441
416	2453	3430
417	2455	3418
418	2457	3407
419	2458	3395
420	2461	3384
421	2462	3373
422	2464	3362
423	2466	3350
424	2471	3343
425	2473	3332
426	2476	3322
427	2478	3311
428	2479	3300
429	2481	3289
430	2483	3278
431	2484	3267
432	2486	3256
433	2488	3245
434	2490	3234
435	2492	3223
436	2494	3213
437	2495	3202
438	2497	3191
439	2499	3181
440	2501	3170
441	2502	3159
442	2504	3148
443	2506	3138
444	2508	3128
445	2509	3117
446	2511	3107
447	2513	3096
448	2514	3086
449	2516	3075
450	2518	3065
451	2520	3055
452	2521	3045
453	2523	3034
454	2525	3024
455	2526	3014
456	2529	3004
457	2532	2997
458	2536	2989
459	2538	2980
460	2540	2970
461	2542	2960
462	2543	2950
463	2545	2940
464	2548	2932
465	2550	2922
466	2552	2912
467	2553	2903
468	2555	2893
469	2557	2883
470	2558	2873
471	2560	2864
472	2562	2854
473	2563	2845
474	2565	2835
475	2567	2826
476	2570	2818
477	2572	2809
478	2574	2799
479	2575	2790
480	2577	2781
481	2579	2771
482	2581	2763
483	2583	2754
484	2585	2745
485	2587	2736
486	2589	2727
487	2591	2719
488	2593	2710
489	2595	2701
490	2597	2693
491	2600	2684
492	2603	2677
493	2605	2668
494	2607	2659
495	2609	2651
496	2611	2643
497	2615	2636
498	2617	2628
499	2620	2620
500	2622	2612
501	2624	2603
502	2627	2595
503	2632	2590
504	2634	2582
505	2637	2574
506	2639	2566
507	2641	2558
508	2644	2551
509	2646	2542
510	2648	2534
511	2651	2526
512	2653	2519
513	2655	2511
514	2657	2502
515	2660	2495
516	2662	2487
517	2664	2479
518	2666	2471
519	2669	2463
520	2671	2456
521	2673	2448
522	2675	2439
523	2676	2431
524	2678	2423
525	2680	2415
526	2682	2407
527	2684	2399
528	2686	2392
529	2688	2384
530	2690	2376
531	2692	2368
532	2694	2360
533	2696	2352
534	2697	2344
535	2699	2336
536	2701	2329
537	2703	2321
538	2704	2313
539	2706	2305
540	2712	2301
541	2714	2293
542	2715	2285
543	2717	2278
544	2719	2270
545	2722	2264
546	2724	2256
547	2726	2248
548	2728	2241
549	2730	2234
550	2732	2226
551	2734	2219
552	2737	2212
553	2738	2204
554	2740	2197
555	2742	2190
556	2744	2182
557	2746	2175
558	2747	2167
559	2749	2160
560	2753	2154
561	2755	2147
562	2757	2140
563	2758	2132
564	2760	2125
565	2761	2117
566	2768	2113
567	2771	2108
568	2773	2100
569	2775	2093
570	2779	2088
571	2781	2081
572	2783	2073
573	2785	2067
574	2787	2060
575	2792	2055
576	2794	2048
577	2795	2041
578	2797	2034
579	2799	2026
580	2801	2020
581	2803	2013
582	2805	2006
583	2807	1999
584	2809	1993
585	2811	1986
586	2814	1979
587	2816	1973
588	2818	1967
589	2821	1960
590	2825	1955
591	2827	1948
592	2829	1942
593	2831	1935
594	2838	1932
595	2840	1925
596	2843	1919
597	2845	1913
598	2848	1906
599	2856	1904
600	2858	1897
601	2861	1891
602	2865	1886
603	2867	1880
604	2869	1873
605	2871	1867
606	2873	1860
607	2875	1854
608	2883	1851
609	2885	1844
610	2887	1838
611	2888	1831
612	2893	1826
613	2901	1824
614	2904	1818
615	2906	1811
616	2908	1805
617	2920	1805
618	2923	1799
619	2930	1795
620	2935	1791
621	2937	1784
622	2963	1793
623	2965	1786
624	2969	1781
625	2971	1775
626	2973	1768
627	2976	1763
628	2978	1756
629	2980	1750
630	2986	1746
631	2988	1740
632	2991	1734
633	2993	1727
634	2995	1721
635	3000	1717
636	3002	1711
637	3004	1704
638	3006	1698
639	3008	1692
640	3024	1693
641	3027	1688
642	3029	1682
643	3032	1676
644	3034	1670
645	3036	1664
646	3039	1658
647	3041	1651
648	3042	1645
649	3044	1639
650	3047	1633
651	3049	1627
652	3051	1621
653	3054	1615
654	3056	1610
655	3059	1604
656	3072	1604
657	3075	1598
658	3080	1593
659	3081	1587
660	3118	1599
661	3126	1596
662	3129	1590
663	3135	1586
664	3137	1580
665	3140	1574
666	3142	1568
667	3144	1562
668	3146	1556
669	3148	1550
670	3151	1545
671	3154	1539
672	3156	1533
673	3158	1527
674	3171	1527
675	3173	1521
676	3176	1515
677	3178	1509
678	3180	1503
679	3186	1499
680	3188	1493
681	3191	1487
682	3211	1490
683	3213	1484
684	3215	1478
685	3218	1473
686	3221	1467
687	3223	1461
688	3225	1455
689	3227	1450
690	3230	1444
691	3232	1438
692	3235	1433
693	3237	1427
694	3240	1421
695	3242	1416
696	3245	1410
697	3247	1405
698	3269	1407
699	3314	1420
700	3317	1414
701	3320	1409
702	3323	1403
703	3325	1398
704	3327	1392
705	3329	1386
706	3331	1380
707	3333	1374
708	3336	1369
709	3338	1363
710	3347	1360
711	3402	1376
712	3405	1370
713	3407	1364
714	3413	1360
715	3416	1355
716	3418	1349
717	3421	1343
718	3430	1340
719	3433	1335
720	3439	1330
721	3441	1325
722	3443	1319
723	3446	1313
724	3449	1308
725	3453	1303
726	3456	1297
727	3457	1291
728	3460	1286
729	3461	1280
730	3463	1274
731	3465	1268
732	3471	1264
733	3475	1259
734	3477	1253
735	3479	1247
736	3481	1242
737	3483	1236
738	3485	1231
739	3487	1225
740	3490	1219
741	3492	1214
742	3494	1208
743	3496	1202
744	3500	1198
745	3502	1192
746	3503	1186
747	3505	1181
748	3507	1175
749	3509	1169
750	3511	1164
751	3513	1158
752	3515	1152
753	3516	1147
754	3518	1141
755	3520	1136
756	3522	1130
757	3525	1125
758	3527	1119
759	3529	1114
760	3531	1108
761	3533	1103
762	3535	1098
763	3537	1092
764	3539	1087
765	3541	1081
766	3543	1076
767	3545	1070
768	3547	1065
769	3550	1060
770	3552	1055
771	3554	1049
772	3556	1044
773	3558	1038
774	3560	1033
775	3562	1028
776	3566	1023
777	3568	1018
778	3570	1012
779	3572	1007
780	3574	1002
781	3577	997
782	3579	991
783	3581	986
784	3603	986
785	3625	987
786	3627	981
787	3630	976
788	3651	976
789	3653	971
790	3655	965
791	3657	960
792	3659	955
793	3661	950
794	3663	944
795	3666	939
796	3668	934
797	3670	929
798	3675	924
799	3677	919
800	3706	920
801	3737	922
802	3739	917
803	3742	912
804	3744	906
805	3746	901
806	3794	907
807	3806	904
808	3808	899
809	3810	893
810	3812	888
811	3816	883
812	3818	878
813	3820	872
814	3822	867
815	3824	862
816	3855	863
817	3857	858
818	3859	853
819	3862	847
820	3869	843
821	3875	839
822	3878	834
823	3880	828
824	3882	823
825	3885	818
826	3887	813
827	3891	808
828	3893	803
829	3895	797
830	3897	792
831	3904	788
832	3906	783
833	3908	777
834	3910	772
835	3912	767
836	3914	762
837	3917	757
838	3923	752
839	3925	747
840	3927	742
841	3929	737
842	3934	732
843	3936	727
844	3938	722
845	3940	717
846	3943	712
847	3945	707
848	3947	702
849	3949	697
850	3952	691
851	3954	686
852	3955	681
853	3962	677
854	3965	672
855	3967	667
856	3969	662
857	3971	657
858	3977	652
859	3979	647
860	3982	642
861	3997	639
862	4005	635
863	4007	630
864	4010	625
865	4013	621
866	4015	616
867	4017	610
868	4019	605
869	4021	600
870	4072	603
871	4074	598
872	4076	593
873	4079	588
874	4105	586
875	4112	582
876	4114	577
877	4119	572
878	4127	568
879	4130	563
880	4133	558
881	4136	553
882	4138	548
883	4144	543
884	4147	538
885	4149	533
886	4151	528
887	4153	523
888	4157	519
889	4159	514
890	4162	509
891	4167	504
892	4169	499
893	4170	494
894	4172	489
895	4176	484
896	4182	480
897	4184	475
898	4186	470
899	4191	465
900	4193	460
901	4195	455
902	4197	450
903	4198	445
904	4205	441
905	4208	436
906	4269	437
907	4271	432
908	4273	427
909	4275	422
910	4277	417
911	4281	413
912	4283	408
913	4285	403
914	4287	398
915	4289	393
916	4291	388
917	4293	383
918	4296	378
919	4299	373
920	4304	369
921	4306	364
922	4308	359
923	4310	354
924	4312	349
925	4315	344
926	4317	339
927	4318	335
928	4320	330
929	4322	325
930	4325	320
931	4327	315
932	4328	310
933	4331	306
934	4333	301
935	4334	296
936	4337	291
937	4338	286
938	4340	281
939	4346	277
940	4348	272
941	4349	267
942	4351	263
943	4353	258
944	4361	253
945	4364	249
946	4366	244
947	4374	239
948	4376	235
949	4379	230
950	4382	225
951	4385	221
952	4387	216
953	4388	211
954	4392	206
955	4394	202
956	4399	197
957	4401	192
958	4404	188
959	4407	183
960	4409	178
961	4412	174
962	4414	169
963	4416	164
964	4418	160
965	4422	155
966	4424	150
967	4425	146
968	4428	141
969	4429	137
970	4437	132
971	4438	127
972	4440	123
973	4442	118
974	4444	113
975	4449	109
976	4452	104
977	4454	100
978	4457	95
979	4459	91
980	4461	86
981	4463	81
982	4468	77
983	4471	72
984	4474	68
985	4476	63
986	4478	58
987	4480	54
988	4521	50
989	4523	45
990	4530	41
991	4532	36
992	4536	31
993	4542	27
994	4549	22
995	4551	18
996	4553	13
997	4556	9
998	4558	4
999	4560	0
